Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
300	-15724.2	-15709.2	-14.9085	0.078282	0.112316	0.0872131	0.100632	0.083896	0.0791287	0.0996618	0.144197	0.127391	0.112619	0.0741621	0.0783097	0.092194	0.0714064	0.0944371	0.111216	0.061857	0.0743096	0.0834426	0.11984	0.116557	0.0980162	0.139811	0.0297924	0.0451491	0.029343	0.0392665	0.0240977	0.0461217	0.0226417	0.0495634	0.0475762	0.0194806	0.0267867	0.0282156	0.0376327	0.0171891	0.0250588	0.0314539	0.0347637	0.0437564	0.0373076	0.0330148	2.90911
310	-15725.4	-15708.7	-16.6964	0.0656269	0.130808	0.0874652	0.100632	0.0892014	0.065074	0.118543	0.157983	0.117833	0.120447	0.0699753	0.0870753	0.098282	0.0671016	0.0803475	0.129519	0.062741	0.085768	0.103191	0.11703	0.135079	0.0980162	0.13559	0.0342827	0.0451491	0.0284119	0.0422195	0.0350089	0.0626409	0.027419	0.0793997	0.0565188	0.0224277	0.0310496	0.0170318	0.0539125	0.0166191	0.0260676	0.0285424	0.0468384	0.042616	0.0254392	0.0429695	3.08789
320	-15724	-15707.6	-16.4388	0.0828435	0.114273	0.0782059	0.101481	0.0892014	0.0772018	0.12954	0.187861	0.121975	0.124468	0.0778654	0.0896294	0.0931216	0.0888705	0.089171	0.132878	0.0360989	0.0704308	0.103209	0.113542	0.120518	0.0836661	0.154467	0.0350078	0.0442777	0.0366751	0.0277146	0.017999	0.0704486	0.0229893	0.0626336	0.0584892	0.0150442	0.0436509	0.0228249	0.0305903	0.0223114	0.0214506	0.0396943	0.0424813	0.0319249	0.0275328	0.0278768	3.06213
330	-15737.3	-15721	-16.3889	0.0558459	0.125843	0.0937722	0.0956092	0.062695	0.0931806	0.128303	0.189133	0.110909	0.0979116	0.0650333	0.0637209	0.0857407	0.0877012	0.100073	0.121486	0.0547343	0.0971733	0.074148	0.113584	0.13225	0.0913842	0.163316	0.0397111	0.0388142	0.047222	0.0446019	0.0360649	0.0584497	0.0210305	0.088052	0.0562254	0.0343911	0.0440124	0.0153868	0.0248772	0.0232263	0.0114311	0.0272608	0.0499875	0.0503923	0.0184022	0.0240644	3.05715
340	-15722.9	-15706	-16.9262	0.088802	0.115302	0.0930854	0.115861	0.0803505	0.0709004	0.126546	0.162517	0.110796	0.140983	0.0666162	0.0818996	0.0981834	0.086497	0.0796407	0.149715	0.0708063	0.0750284	0.113719	0.103571	0.115091	0.109202	0.135334	0.0301575	0.0554757	0.0330685	0.0194918	0.0203777	0.0651492	0.0367413	0.071734	0.0554258	0.037054	0.0352046	0.0223321	0.0376648	0.0191527	0.0240169	0.0272359	0.0499875	0.03456	0.0195668	0.026031	3.11087
350	-15719.5	-15703.6	-15.9367	0.0763623	0.11095	0.0848148	0.121838	0.0965494	0.0705661	0.137405	0.145654	0.110796	0.100738	0.0722331	0.0686752	0.0969803	0.077666	0.0737523	0.116649	0.0612835	0.068763	0.102668	0.122974	0.114995	0.0857374	0.133469	0.0399846	0.0543816	0.0387635	0.026999	0.0218537	0.0648076	0.0213781	0.0836137	0.0595927	0.0272214	0.0406264	0.0221675	0.0379221	0.0249982	0.0243638	0.0290898	0.0499875	0.0369366	0.0217024	0.0340154	3.01193
360	-15723.2	-15707.5	-15.6538	0.0763623	0.102037	0.0753853	0.097863	0.0704119	0.100151	0.128701	0.148582	0.104871	0.101548	0.0705883	0.08274	0.105139	0.0771951	0.100773	0.133765	0.0485446	0.0998462	0.0990356	0.122974	0.11212	0.110992	0.138951	0.0429304	0.0520186	0.0247729	0.0195564	0.0229574	0.0655357	0.0125974	0.0770976	0.0407638	0.0287628	0.0430276	0.0165997	0.022198	0.0167212	0.0250257	0.0301807	0.0420577	0.0474291	0.0225853	0.0222388	2.98363
370	-15729.7	-15713.8	-15.8339	0.0672748	0.107538	0.0858171	0.097666	0.0877793	0.0635474	0.11405	0.146579	0.13259	0.105801	0.0705431	0.0642932	0.0969824	0.0764854	0.106342	0.124032	0.0385911	0.0693659	0.0978811	0.138242	0.116478	0.104196	0.174571	0.0420839	0.0545033	0.0299743	0.0259671	0.0412937	0.0452392	0.0164011	0.0824624	0.0438594	0.0366861	0.036648	0.0240253	0.0453895	0.0248933	0.0126162	0.0179913	0.0501593	0.0274289	0.0292412	0.028141	3.00165
380	-15728	-15710.9	-17.1921	0.0744391	0.111708	0.0957216	0.114844	0.0725839	0.0868947	0.117037	0.16075	0.134404	0.105795	0.0788545	0.0880735	0.113178	0.116741	0.0977941	0.138263	0.0503879	0.0871076	0.0897372	0.138583	0.135471	0.0972647	0.155633	0.0332246	0.0476759	0.0282898	0.0320901	0.0206981	0.0586064	0.030777	0.0605481	0.0583116	0.0321358	0.0403954	0.0264079	0.0274528	0.0103264	0.010229	0.0218286	0.0519072	0.0414978	0.0248577	0.0189329	3.13746
390	-15719.7	-15703.7	-16.0581	0.0761194	0.111708	0.0933163	0.0932166	0.0799072	0.069453	0.115005	0.167626	0.121551	0.113073	0.0786005	0.084615	0.0952465	0.0851128	0.0994034	0.128477	0.0683419	0.102945	0.0821399	0.122232	0.101568	0.0907815	0.143555	0.0533677	0.0504653	0.0221005	0.0272248	0.0280799	0.0552746	0.0272765	0.0761763	0.0554229	0.0264333	0.03683	0.0210003	0.0331707	0.0167608	0.0191565	0.0250486	0.0469238	0.0251177	0.022604	0.0316351	3.02406
